Input_Column,Positive_Product,Positive_Product_Code,Positive_Rank,Positive_Score,Top1_Product,Top1_Score,Top10_Contains_Positive,Excel_Row
EMTOFA 2% OINTMENT,EMTOFA OINTMENT 15GM,421113091,4,0.6993,EMTOFA OINTMENT 10 GM,0.7561,True,1365
OLANEX F TAB 10S/15S 10S/15S,OLANEX  F TABLETS 1 x 15 T,424442062,1,0.9228,OLANEX  F TABLETS 1 x 15 T,0.9228,True,1367
PROXYM 300ER 15S,PROXYM ER TABLET 1X15T,424441862,3,0.6550,PROXYM ER 200 TABLETS 15 T,0.8043,True,1371
CELOL (10 TAB) 10TAB,FERIUM XT TABLET,424441702,8,0.3479,FERIUM CHEWABLE 100 MG TAB 10X10 T,0.4491,True,1381
EMPRI-L10+5 TABLETS- 1*10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.9215,EMPRI L 10/5MG TABLET 10x10T,0.9215,True,1387
EMPRI-L-25+5TABLETS-10 TAB 1*10 TAB,EMPRI L 25/5MG TABLET 10x10T,421113070,1,0.9043,EMPRI L 25/5MG TABLET 10x10T,0.9043,True,1388
POVIZTRA-1.75 MG FLXT 3 ML1 PC COPACK 1 PC,POVIZTRA FLXT 1.7MG 3ML 1PC COPACK,420008828,1,0.9098,POVIZTRA FLXT 1.7MG 3ML 1PC COPACK,0.9098,True,1389
GALACT GRANULES.ELACHI FLAVOUR- BIG SIZE BIG SIZE,GALACT GRANULES 10GM ELAICHI,421112986,1,0.7304,GALACT GRANULES 10GM ELAICHI,0.7304,True,1390
ERIBULIN 0.5MG/ML INJ EMBREMMA VIAL,EMMDARA INJECTION 50MG/2ML,421112598,1,0.5151,EMMDARA INJECTION 50MG/2ML,0.5151,True,1392
S NUMLO 5MG TAB. 20X15,S-NUMLO 5 MG TABLET 1x15 T,424441204,1,0.9303,S-NUMLO 5 MG TABLET 1x15 T,0.9303,True,1396
OSTERI INJ600 MCG+ NEEDLS 1X1,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.7663,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.7663,True,1398
GALACT GRANULES CHOCOLATE FLV 200GM 1X200GM,GALACT GRANULES CHOCOLATE,421112647,1,0.8135,GALACT GRANULES CHOCOLATE,0.8135,True,1400
OSTERI INJ.600MCG / 1S,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.9191,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.9191,True,1405
NUCORIL-5MG-30TAB(COLD CHAINE)30TAB,NUCORIL - 5 TABLETS 1X30 T,424440492,1,0.8127,NUCORIL - 5 TABLETS 1X30 T,0.8127,True,1409
POVIZTRA-2.4ML INJ(COLD NO RETURN)1VIAL,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK,420008829,1,0.6384,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK,0.6384,True,1410
NUCORIL-5MG-30TAB(COLD CHAINE)30TAB,NUCORIL - 5 TABLETS 1X30 T,424440492,1,0.8127,NUCORIL - 5 TABLETS 1X30 T,0.8127,True,1412
POVIZTRA-2.4ML INJ(COLD NO RETURN)1VIAL,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK,420008829,1,0.6384,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK,0.6384,True,1413
VONADAY TABS 1X30,VONADAY 600/300/300 MG TABLET 30s,424440875,1,0.8323,VONADAY 600/300/300 MG TABLET 30s,0.8323,True,1416
OROFER S INJ.5ML,OROFER S 100 INJECTION,421111537,2,0.7506,OROFER S INJECTION 2.5 ML,0.7985,True,1417
VONADAY TABS 1X30,VONADAY 600/300/300 MG TABLET 30s,424440875,1,0.8323,VONADAY 600/300/300 MG TABLET 30s,0.8323,True,1419
AMARYL M F/TE 1MG,AMARYL M FORTE 1MG TABLET 10x15T,421113132,2,0.8095,AMARYL M 1MG TABLET 8x20T,0.8359,True,1424
VYLDA-DM100/10/5,VYLDA DM 100/10/500 TABLET 1x10T,421112888,4,0.8769,VYLDA DM 100/5/1000 TABLET 1x10T,0.9046,True,1426
GALACT LACTATION GRANULES ELA 400GM --,GALACT GRANULES 400GM ELAICHI,421113094,1,0.9018,GALACT GRANULES 400GM ELAICHI,0.9018,True,1429
