PRODUCT_NAME,MATERIAL DESCRIPTION
FERIUM XT DROPS 10 ML,FERIUM XT DROPS 15 ML
FITJOINT CAP 10S 10X10,FITJOINT CAPSULES
CARDACE 10 10X15 15 S,CARDACE 10 MG TABLET 10x15T
BPMET-XL 12.5 TAB 1 0S,BPMET - XL 12.5 TABLETS
ANTIPLAR PLUS 75MG TAB (1X10) 10,ANTIPLAR PLUS CAPSULES
ACEGABA 300 MG CAP 110,ACEGABA 300 CAPSULE
DYDROFEM-SR 30MG TAB 10S 1*10,DYDROFEM SR 30 TABLET 3x10T
HOFIX TABLET 1X30 TAB 1X30TAB,HOFIX TABLET 1X30T
GAZIN 40 TAB.,GAZIN 40 TABLET
TEMSAN H (1X15) 1*15,TEMSAN H TABLETS 1X15 T
DYDROFEM TAB 10*1,DYDROFEM TABLETS
Amaryl 3mg 30sSN245,AMARYL 3MG TABLET 10x30T
CARMADA 50MG 1X7,CARMADA 50 MG TABLET 10x10T
STROCOZ-500 MG TAB,STROCOZ 500 TABLETS
LASIX 10X 4ML AMP 4ML,LASIX 40 MG/4ML INJECTION
EMPRI-L 10/5MG TAB 10S,EMPRI L 10/5MG TABLET 10x10T
ACEGABA GRS 300 TAB 10S,ACEGABA GRS 300 TABLET 10T
EMLINZ DM FORTE TAB 1( 10S,EMLINZ DM FORTE TABLET 10x10T
INFEN MR TAB 10x1,INFEN MR TABLETS
CEASTRA 200 CAP 1*10,CEASTRA 200 CAPSULES 10X10C
PROXYM-XT TAB 15TAB,PROXYM XT TABLET 1X15T
C-LET 2GM INJ 1X1,C - LET 2.0 GM INJECTION
EXDUO 50 TAB 10S 1,EXDUO 50 TABLET 1x10T
EMLEVO 1000,EMLEVO 1000 TABLET
SYLATE T-500 TAB 10S,SYLATE T 500 TABLET
MATERNA-HMG 75 I.U. 1S,MATERNA-HMG 75 I.U.
OROFER XT TOTAL 1X10,OROFER XT TOTAL TABLET
EXHEP PEN CARTRIDGE 1S,EXHEP PEN CARTRIDGE 300MG/3ML
GALACT CHOCOLATE GRANULES 1200G,GALACT GRANULES 600GM CHOCOLATE
PAUSE 1000 MG INJ 1vial,PAUSE 1000 MG INJECTION
PROXYM ER 200 TAB 1*15,PROXYM ER 200 TABLETS 15 T
NUSAR 25MG TAB 10s,NUSAR 25 MG TABLET
STROCOZ SYP 0,STROCOZ SYRUP 60 ML
TARGOCID 400MG INJ 3 ML5245 3 ML,TARGOCID 400 MG INJECTION
XILIA-M2 110TAB,XILIA - M 2 TABLETS
TEMSAN CT 40/12.5MG TAB. 1X10,TEMSAN CT 40/12.5 MG TABLET 10X10
AMARYL-M 1 FORTE TAB 1X15,AMARYL M FORTE 1MG TABLET 10x15T
OROFER S 200 ING 10 ML 10 ML,OROFER S 200 INJECTION 10 ML
EMDIP-16MG TAB 1X10TA,EMDIP-16 TABLETS 10X10 T
EXHEP 40 INJ. PFS,EXHEP 40 INJECTION
NUSAR 25 1 X 10,NUSAR 25 MG TABLET
BRCAONE 150 MG TAB 60TAB,BRCAONE 150 MG TABLET 1x60T
NUMLO D5 TAB 15S,NUMLO-D 5 TABLET 1x15 T
AMARYL MV 1 TAB 110,AMARYL MV 1MG TABLET 10x15T
TEMSAN LNC 6.25MG TAB 10S,TEMSAN LNC 6.25 TABLET 10x10T
LIPIRA TAB. 10*TAB,LIPIRA 5 TABLET
PROXYM ER 200MG TAB (15) 15TAB,PROXYM ER 200 TABLETS 15 T
VINTOR 4000IU INJ 1,VINTOR 4000 IU INJ 1 PFS
VICARE CLEAR CAPSULE 1BOX,VICARE CLEAR CAPSULE 1x10C
HOSIT-XT CAP. 10 s,HOSIT-XT CAPSULES
PEMCURE 500MG INJ. 1S 1,PEMCURE 500 MG INJ 1 VIAL
EMPERIDE MP 1 TAB 10 S,EMPERIDE MP 1 TABLET
GALOP PLUS 5 TAB 10S 10S,GALOP PLUS-5 TABLETS
SAV HF 100 TAB. 10S,SAV HF 100 TABLET 6x10T
ATOREC GOLD 10 TAB 10S,ATOREC GOLD 10  10X10 C
TEMSAN CT/12.5MG TAB 1X10,TEMSAN CT 40/12.5 MG TABLET 10X10
EMSITA GM 50/1/500 TAB G,EMSITA GM 50/1/500 TABLET 10x10T
VIREM-R TABLETS 160 T 1,VIREM - R TABLETS 1X60 T
CEASTRA SB 65MG CAP 10CAP,CEASTRA SB CAPSULE 65MG 1x10C
EXHEP-60MG PFS,EXHEP 60 INJECTION
AQUAOAT MOISTURIZING CREAM 50G 20,AQUAOAT MOISTURIZING CREAM 50GM
CONSIVAS-10 TAB. 1X10,CONSIVAS 10 MG TABLET 10X10
STROCOZ 500 TAB --,STROCOZ 500 TABLETS
ROSUVAS EZ 20 10*10,ROSUVAS EZ 20 MG TABLET 1x10T
EPITRIL BETA 0.5MG TAB 10 S,EPITRIL BETA 0.5 TABLETS
ASOMEX AT-5MG 10S,ASOMEX AT 5 MG TABLET
INFEN P TAB 10S (EMCURE) 10S,INFEN P TABLETS
ACEGABA 100 CAPS 15,ACEGABA 100 CAPSULE 1 X 15 C
MOFILET - S - 360 MG TAB 110,MOFILET S 360 TABLET
HOSIT INJ. 1ML 1ML,HOSIT INJECTION
TEMSAN CT 80 MG. TAB 10S,TEMSAN 80 CT TABLETS
CARDACE H 2.5MG (15 S) 15  S,CARDACE H 2.5 TABLET 10x15T
LOMOH 40 MG INJ 0.4 ML,LOMOH 40 MG INJECTION
LAZID N TAB 1*30 TAB.,LAZID N TABLET
SILNAFIL 25 MG TAB 10S 10,SILNAFIL TABLETS
ARMOD 50 (NEW) 15S,ARMOD-50 TABLETS 1 x 15 T
ATOREC-5 TAB 10 S,ATOREC  5 MG TABLET
Bestform M Tablet 10s,BESTFORM M TABLET 1x10T
EMDIP T40 10S,EMDIP T40 TABLET
CLEXANE 20MG INJ 1BOX,CLEXANE 20MG/0.2ML INJECTION
TAPICEM 4.5 GM INJ --,TAPICEM 4.5 GM INJECTION
TRI OLVANCE 40MG TAB. 10S,TRIOLVANCE 40 TABLETS
ASOMEX AT 5M,ASOMEX AT 5 MG TABLET
ARMOD 150MG TAB 10S,ARMOD-150 TABLETS
VINGRAF 2 CAPSULE 1*10,VINGRAF 2 MG CAPSULE 6X10
RAMIPRO .5MG 10,RAMIPRO CAPS.2.50
TOPERIZONE 150 110,TOPERIZONE - 150 TABLETS
EMANZEN DP TAB 10T,EMANZEN DP TABLET
TOPERIZONE D TAB 10 T,TOPERIZONE D TABLET
PROXYM-TH 8 10TAB,PROXYM TH8 TABLET 1x10T
Emlevo 500 10T,EMLEVO 500 TABLET
TEMSAN 80MG 10 TAB,TEMSAN 80 MG. TABLETS
OLANEX F TABLET 10TAB,OLANEX  F TABLETS
OROFER S INJECTION 1X2.5ML,OROFER S INJECTION 2.5 ML
PROCTOSEDYL - BD CREAM 20GM,PROCTOSEDYL BD CREAM
OLMEGARD AM 10TAB,OLMEGARD AM TABLET
CONSIVAS-20 10TA,CONSIVAS 20 MG TABLET 10X10
Xilia 1mg Tab 10 S,XILIA - 1 TABLETS
POVIZTRA FLXT 1MG 3ML COPACK 1S,POVIZTRA FLXT 1MG 3ML 1PC COPACK
EMILDAP M 10/500 TAB TAB,EMILDAP M10/500 1X10T
GALACT LACTATION GRANULES ELAICHI FLV 200G 1*200GM,GALACT GRANULE 200 GM ELAICHI
POVIZTRA FLXT 1.7MG 3ML 1PC 1 PEN,POVIZTRA FLXT 1.7MG 3ML 1PC COPACK
ETS 100MG AMPS. 1S,ETS-100 CAPSULE
G3N-2. 6 TABLET 1X25,G3N - 2.6 TABLET
NUMLO-TM 10TAB,NUMLO-TM TABLETS
ZILARBI 80 TABLETS 10S,ZILARBI 80 TABLET
TELSITE 80MG 15TAB PCS,TELSITE 80 MG TABLET 10x15T
NUMLO TM 5 110,NUMLO-TM 5 TABLETS
EMPRI L 10/5 MG TABS 10S,EMPRI L 10/5MG TABLET 10x10T
MOFILET 500 TAB. 10,MOFILET 500 MG TABLET
EMC142 OROFER XT TABS 1*30S,OROFER XT TABLET 1X30 T
TAXOTERE 80 MG. VIAL,TAXOTERE 80 MG/4ML INJECTION
ROSUVAS EZ 20MG TAB 110,ROSUVAS EZ 20 MG TABLET 1x10T
ACEGABA ME 300 TAB 1*10,ACEGABA ME 300 TABLETS
BACTILAM 250 TAB 6; TAB,BACTILAM  250 TABLETS
EMILDAP S 10/100 TAB 10 NOS,EMILDAP S 10/100 TABLET 1X10T
CORDARONE 100 TAB 1X15S,CORDARONE 100 MG TABLET 20x15T
TEMSAN 40 10*10,TEMSAN 40 MG. TABLETS
EMSULIDE-P 10S,EMSULIDE P TABLET 10
TOPERIZONE D TABS 10TABS 10TABS,TOPERIZONE D TABLET
TEMSAN H TAB 15S 10x15,TEMSAN H TABLETS 1X15 T
XILIA M2 1X10TAB,XILIA - M 2 TABLETS
ACEGABA NT 200 TABLET 1 X 15T,ACEGABA NT 200 TABLET 1x15T
HOSIT-TAB 110,HOSIT TABLET
ZOMITAC TAB 1*10,ZOMITAC TABLET 10
SKIZOTUS 200 TAB 1*10,SKIZOTUS - 200 TABLETS
GALACT GRANULES-(CHO 200GM,GALACT GRANULES CHOCOLATE
GAZIN M TAB --,GAZIN M TABLET
FERIUM XT STP,FERIUM XT TABLET
ASOMEX-M TAB-10s,ASOMEX - M  TABLETS 10X10 T
EMILDAP 5MG TAB,EMILDAP 5 TABLET 1X15T
ACEGABA-NT-100 1X15,ACEGABA NT 100 TABLET 1x15T
FICO-TAB. 10S,FICO TABLETS
CARDACE H 10MG 30 S,CARDACE H 10 TABLET 10x15T
LOBACOR-5-TAB 10S,LOBACOR 5 TABLET
FITJOINT CAPS 10X10,FITJOINT CAPSULES
TENECTASE 1ML,TENECTASE
DENLAFAX 50 TABS.,DENLAFAX-50 TABLETS
S-NUMLO 5MG TAB 15 S,S-NUMLO 5 MG TABLET 1x15 T
VYLDA D 100/10 MG TAB 10 TAB,VYLDA D100/10 TABLET 1X10T
TEMSAN AM 5 TABLE 1 X15,TEMSAN AM-5 TABLETS 1X15 T
GALACT GRANULES POW,GALACT GRANULES
NEYTA TAB 10TAB,NEYTA TABLETS
CISCURE 0.25MG INJ 1 VIAL,CISCURE 0.25 MG INJECTION
CONSIVAS GOLD 20MG CAP 10CAP,CONSIVAS GOLD 20 CAPSULES 10X10C
TAPIC INJ 4.5GM VAIL,TAPIC INJECTION 4.5 gm
PRASUMAX 5 TABS 10TABS 1X10TAB,PRASUMAX-5 TABS 1X10 T
CELOL PLUS TAB 10S 10,CELOL+ TABLET
PLAVIX 75TAB 14TAB.,PLAVIX 75 MG TABLET 10x14T
FICO P TAB,FICO P TABLET
OZATEX 5 MG 10 T 10 TAB,OZATEX 5 TABLET
TEMSAN AM 5MG TAB 10S,TEMSAN - AM 5 TABLETS
NUSAR-50MG TAB 10s,NUSAR 50 MG TABLET
XILIA M 1 FORTE TAB --,XILIA - M 1 FORTE TABLETS
VYLDA-M1000 10S -,VYLDA-M 1000 TABLETS 1X10 T
HOSIT-CA TAB 15TAB.,HOSIT CA TABLET 1x15T
COLIST 1MIU INJ,COLIST INJECTION
S NUMLO 5MG TABS 15,S-NUMLO 5 MG TABLET 1x15 T
SEVCAR-400MG-TAB(SEVELAMER,SEVCAR-400 TABLETS
SOLGLO INVISIBLE SUNSCREEN 50ML,SOLGLO INVISIBLE SUNSCREEN GEL 50ML
EMGRA 2 TAB. 28 s,EMGRA TABLETS
ATOREC GOLD 20 CAPSULES 10CAP,ATOREC GOLD 20  10X10 C
OROFER FCM INJ.500MG 10ML,OROFER FCM  INJECTION 500MG/10ML
SUSTINEX - - 30 6 S,SUSTINEX-30 TABLETS
ACEGABA GRS 600 TAB 10S,ACEGABA GRS 600 TABLET 10T
IMTUS 100MG INJ 1S,IMTUS 100 MG INJECTION
LIFTAZ 250MG INJ VAIL,LIFTAZ 250 MG INJECTION
FERIUM INJ 500 MG 1,FERIUM INJECTION 500MG
FERIUM XT DROP DROP,FERIUM XT DROPS 15 ML
ENHEMO MF TAB 1*10s,ENHEMO MF TABLET 5x10T
OROFER XT PLUSSUSPOROFER XT SYP 200ML,OROFER XT + SUSPENSION 200 ML
Asomex 2.5mg Tab 15S,ASOMEX 2.5 MG TABLET 1X15T
Emnetic Tab 10S,EMNETIC TABLETS 10X15 T
INFEN OD 50 TAB 1X10,INFEN OD TABLETS
TEMSAN-AM-5MG 10S,TEMSAN - AM 5 TABLETS
S-NUMLO 2.5MG TAB 1*10TAB,S-NUMLO 2.5 MG TABLET
OROFER FCM 500MG IV 1VAIL,OROFER FCM  INJECTION 500MG/10ML
SYLATE INJ MIN 10 AMP 2 ML,SYLATE INJECTION 2 ML
OSTERI 750MG INJ INJ,OSTERI INJECTION 750 MCG PFS
BACTILEM 1.5GM INJECTION VIAL,BACTILEM  1.5 GM INJECTION
CETAPIN-V0.3 10X15,CETAPIN V 0.3MG TABLET 10x15T
GALACT LACTATION GRANULES ELAICHI 400GM,GALACT GRANULES 400GM ELAICHI
PAUSE INJECTION 55 ML,PAUSE INJECTION
EMGRA TABLET 1*28,EMGRA TABLETS
VYLDA DM 100/ 1X10 TAB,VYLDA DM 100/5/500 TABLET 1x10T
OROFER XT TAB 30 CP 30 TAB,OROFER XT TABLET 1X30 T
EMSITA-M 50/500 TAB. 10T,EMSITA M 50/500 1X10T
CARDACE 10MG TAB 1X15 TAB,CARDACE 10 MG TABLET 10x15T
EMDIP -8 TAB 10s,EMDIP-8 TABLETS
UREADERM MOISTRIZ CR 100GM,UREADERM MOISTURIZING CREAM 10% 100GM
SOFOCURE TABLET. 1X28TAB,SOFOCURE TABLET
TEMSAN-LNC 12. 5mg TABS 10S,TEMSAN LNC 12.5 TABLET 10x10T
ZOSECTA-IV 20MG V,ZOSECTA IV 20Mg.
ACEGABA 300 CAPSULE 10CAP,ACEGABA 300 CAPSULE
FLAWLIZO ACNE SPOT 3 30ML,FLAWLIZO ACNE SPOT CORRECTOR 30ML
CINEZ D TAB,CINEZ-D TABLETS
TENECTASE 20 INJ. VAIL,TENECTASE
ATOREC CV 10 CAP 10tab,ATOREC CV 10 CAPSULES
FERIUM CHEWABLE-10S 10S,FERIUM CHEWABLE TABLETS 10X10 T
AURICH 100MG INJ 1X2ML 1X2ML,AURICH - 100 INJECTION
Epitril 2mg Tab 10s,EPITRIL 2 MG TABLET
NUSAR ATN 10TAB,NUSAR ATN TABLET
FERIUM CHEW 100 TAB 10S,FERIUM CHEWABLE 100 MG TAB 10X10 T
DARBECURE 25MG INJ 1S,DARBECURE 25 INJECTION PFS
ARMOD 50MG TABS 15S,ARMOD-50 TABLETS 1 x 15 T
CEASTRA 200 CAP 110,CEASTRA 200 CAPSULES 10X10C
ATOREC 10MG 10-S,ATOREC 10 MG TABLET
STROCOZ 2 INJ,STROCOZ-2 INJECTION
EMSITA MSR 100/1000 10S(32036035) Strength,EMSITA M SR 100/1000 1X10T
ROSUVAS EZ 10 TAB (EMCURE) 10T,ROSUVAS EZ-10 TABLETS
FEMZACT CAPSULE 3x10C 10 C,FEMZACT CAPSULE 3x10C
ASOMEX CV TAB. 1*10,ASOMEX CV TABLET
PLAVIX 75MG 14*10,PLAVIX 75 MG TABLET 10x14T
NUCORIL 5,NUCORIL - 5 TABLETS 1X10 T
VYLDA 50TAB 15T,VYLDA TABLETS 1X15 T
NUMLO-TM 5MG 10/15T 10/15 TA,NUMLO-TM 5 TABLETS 1X15 T
EMSITA 50 MG TABLET NA,EMSITA 50 MG TABLET 1X10T
DINOR TABLET 10S,DINOR TABLET
TELSITE 80 10S,TELSITE 80 MG TABLET 10x15T
EMSITA 50 MG TAB,EMSITA 50 MG TABLET 1X10T
CARDACE H-10 10,CARDACE H 10 TABLET 10x15T
MAXTRA P ORAL DROPS 15ML,MAXTRA P ORAL DROPS
VYLDA D100/5 TAB 10TAB,VYLDA D100/5 TABLET 1X10T
TELSITE H 40 MG 10 S,TELSITE H 40 TABLET 10x10T
INFEN P TAB 10X10,INFEN P TABLETS
CARDACE H 2.5 TAB 110,CARDACE H 2.5 TABLET 10x15T
TICAPLATE 90 TAB 10,TICAPLAT 90 TABLETS 6X10 T
CARDACE-AM-2. 5MG TAB 1X15TA,CARDACE AM 2.5 TABLET 10x15T
PAXOTUS PLUS 12.5MG C. 1X10,PAXOTUS PLUS 12.5 MG CAPSULES
EMSITA MP TAB 10S,EMSITA MP TABLET 10x10T
EMANZEN-FORTE 10T,EMANZEN FORTE TABLET 10 MG
LASILACTONE 50MG[173016] 10S,LASILACTONE 50 TABLET 10x10T
BEVAREST 400MG INJ 1*1,BEVAREST 400 INJECTION
BPMET XL 25 10TAB,BPMET XL 25 TABLET
CARDACE H 2.5 MG TAB 10 S 10S,CARDACE H 2.5 TABLET 10x15T
SILURI 8 CAP 10 S,SILURI  8 CAPSULE
PRO-FERIUM 200GM.,PROFERIUM POWDER 200 GM
HOSIT FCM 750MG/15ML INJ 15ML,HOSIT FCM INJECTION 750MG/15ML 
GALACT GRANULES * 200GM,GALACT GRANULES
OROFER XT-Z TAB,OROFER XT-Z TABLETS 1X10 T
OROFER FCM INJ 750MG 15ML 15ML,OROFER FCM INJECTION 750MG/15ML
LOMOH 40 INJ 1,LOMOH 40 MG INJECTION
NUSAR AMH TAB 10,NUSAR AMH TABLETS
METPURE -TEL 40 TAB 10s,METPURE TEL 40 TABLETS
CARDACE AM 10/5 T 1X10T,CARDACE AM 10 TABLET 10x15T
CARMADA 50 10 TAB,CARMADA 50 MG TABLET 10x10T
GALACT GRANULES CHOC 200GR,GALACT GRANULES CHOCOLATE
SKIZOTUS 50 TAB. 10S,SKIZOTUS - 50 TABLETS
FERIUM INJECTION 750MG/15ML,FERIUM INJECTION 750MG/15ML
ELINAL 1 MG STRIP,ELINAL 1 MG TABLET
CARDACE 10MG TAB 30 S,CARDACE 10 MG TABLET 10x15T
OROFER S AMP 2.5ml,OROFER S INJECTION 2.5 ML
GALOP 10 TAB 10S,GALOP 10 MG TABLETS
DYDROFEM SR 30 MG TABLET 1*10,DYDROFEM SR 30 TABLET 3x10T
DABITRA 110 MG CAPS 10S 1,DABITRA 110 CAPSULES
ENCICARB 100 MG INJ 1,ENCICARB INJECTION 100MG/2ML
FERIUM-XT TAB 15 TAB,FERIUM XT TABLET 10x15T
S-NUMLO 2.5 TAB 1*15,S-NUMLO 2.5 MG TABLET 1x15 T
CARMADA 100MG 10S,CARMADA 100 MG TABLET 10x10T
EMFOLIC TAB 1X10,EMFOLIC TABLET
TEMSAN - LNC 12.5MG TAB 10S,TEMSAN LNC 12.5 TABLET 10x10T
DABITRA 150 CAP,DABITRA 150 CAPSULES
CARDACE-H-2.5MG TAB 1X15TA,CARDACE H 2.5 TABLET 10x15T
FULL 365 SYRUP 100ML,FULL 365 SYRUP 100 ML
PAXOTUS PLUS 12.5 MG CAP 10S,PAXOTUS PLUS 12.5 MG CAPSULES
CARDACE PROTECT 2.5 10*1,CARDACE PROTECT 2.5 TABLET 10x10T
VIROPIL TAB. 30TAB,VIROPIL TABLET 1X30T
OSTERI INJ 750 MCG 1,OSTERI INJECTION 750 MCG PFS
PAUSE MF 10-S,PAUSE MF TABLET
NUMLO D 5 15S,NUMLO-D 5 TABLET 1x15 T
AMARYL MV 2MG STRIP OF 15 TABLETS,AMARYL MV 2MG TABLET 10x15T
XILIA-MP 2 TAB 10 TAB,XILIA-MP 2 TABLETS
TEMSAN TRIO 40 TABLET 1X10T 10 --,TEMSAN TRIO 40 TABLET 1X10T
METPURE TEL 40 10 ta,METPURE TEL 40 TABLETS
ASOMEX AT 5MG 15TAB,ASOMEX AT 5 MG TABLET 1X15T
EMDYDRO SR 30mgTAB 10S,EMDYDRO SR 30 TABLET 3x10T
NUMLO-D 1X15,NUMLO-D TABLET 1X15 T
DAPAGZA L 10/5 TAB 10TAB,DAPAGZA L 10/5 TABLET 10x10T
OROFER XT TABLET 360 S,OROFER XT TABLET
CEASTRA XL 100 CAP. 7S,CEASTRA XL-100 CAPSULES
TEMSAN 80 TAB 1*15,TEMSAN 80 MG TABLETS 10x15T
METPURE - H - 50 MG TAB . 110,METPURE H 50 TABELTS
EMLUZ CREAM 20gm,EMLUZ CREAM 20 GM
GALACT GRANULES (ELAC 400G,GALACT GRANULES 400GM ELAICHI
AMARYL-3 TAB 1S,AMARYL 3MG TABLET 10x30T
EXHEP PEN CARTRIDGE 3ml,EXHEP PEN CARTRIDGE 300MG/3ML
C Zid 1gm 1 gm,C-ZID 1GM
AMARYL 2mg TAB 1x30,AMARYL 2MG TABLET 15x30T
METPURE TEL 40 10S 10S,METPURE TEL 40 TABLETS
EJALONG -30 TAB 6S,EJALONG - 30 TABLETS 10X6 T
PROXYM ER 200 15TA,PROXYM ER 200 TABLETS 15 T
CLEXANE 40 MG INJ INJ,CLEXANE 40MG/0.4ML INJECTION
EMDYDRO SR 30 TAB 3*10,EMDYDRO SR 30 TABLET 3x10T
ASOMEX 1.25 TAB 15S 15 S,ASOMEX 1.25 TABLETS 1X15T
CARDACE 1.25MG TAB 10*15,CARDACE 1.25 MG TABLET 10x15T
AMARYL-M FORTE 2 10X15T,AMARYL M FORTE 2MG TABLET 10x15T
VITALEM POWDER 200GM 1X200GM,VITALEM POWDER 200 GM
CONSIVAS-F 10*10TAB,CONSIVAS-F10/160 TABLETS
OSTERI INJ 750 MCG PFS PFS,OSTERI INJECTION 750 MCG PFS
ACEGABA NT 400 MG 15 T,ACEGABA-NT 400 TABLET 1x15T
Temsan 40 Tab 15 S,TEMSAN 40 MG TABLETS 10x15T
ASOMEX D TABLETS 15S,ASOMEX D TABLET 1x15T
ENHEMO 500 TAB. 10.,ENHEMO 500 TABLET 10x10T
CETAPIN V 0.2mg TABS 15s,CETAPIN V 0.2MG TABLET 10x15T
EOPTAL 600 10 TAB,EOPTAL 600 TABLETS 10X10 T
TELSITE AM 1 *10TAB,TELSITE AM TABLET 10x10T
OLANEX F TAB 15-T,OLANEX  F TABLETS 1 x 15 T
XILIA - M 1 TABLETS,XILIA - M 1 TABLETS
GAZIN ER 60 TAB. 1*10,GAZIN ER 60 TABLET
EMDUO 30 TAB 10 TAB,EMDUO 30 TABLET
VYLDA D 100/ 10TAB,VYLDA D100/10 TABLET 1X10T
SOLSKREEN SPRAY 100 M,SOLSKREEN SPRAY 100 ML
HAMSYL JUNIOR 1 vial,HAMSYL JUNIOR
EMDIP 16MG 10 TAB,EMDIP-16 TABLETS 10X10 T
EPITRIL-2MG 10 TAB,EPITRIL 2 MG TABLET
LASILACTONE 50MG *10,LASILACTONE 50 TABLET 10x10T
TARGOCID 200MG DRY VIAL OF 1 POWDER FOR INJECTION,TARGOCID 200 MG/3 ML INJECTION
NEUAL 5MG TABS. 10S,NEUAL-5 TABLETS
POVIZTRA FLXT 1MG 3ML COPACK 1PC,POVIZTRA FLXT 1MG 3ML 1PC COPACK
CARDACE AM 2.5 TAB. 10 S,CARDACE AM 2.5 TABLET 10x15T
EMSITA M SR 100/500 TABLET 10 S,EMSITA M SR 100/500 TABLET 1x10T
VYLDA M1000 TAB 1X10,VYLDA-M 1000 TABLETS 1X10 T
EMNAC TABS 10S,EMNAC TABLETS
MAXIGARD 500MG INJ NOS,MAXIGARD INJECTION
VYLDA DM 5/500 1X10,VYLDA DM 100/5/500 TABLET 1x10T
ATOREC F TABS 10TAB 1X10TAB,ATOREC F 10/160 MG TABLET 10X10
PREPIXA 2.5MG STRIP OF 10 TABLETS,PREPIXA 2.5 TABLET 1X10T
VELIX 40 IVAIL,VELIX 40
COBAFORTE-CD-3 TAB 1X10,COBAFORTE CD3 TABLET
DIVRET TAB 1.5MG 10S,DIVRET TABLET 1.5MG
CARDACE AM 10M 1,CARDACE AM 10 TABLET 10x15T
ASOMEX-M TAB. 15 S,ASOMEX - M  TABLETS 10X10 T
ACEGABA-ME 300 110,ACEGABA ME 300 TABLETS
EMCOR CREAM 15 0 1X15GM,EMCOR CREAM 15 GM
POVIZTRA FLXT 2.4MG 3ML1PC,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK
CARDACE-AM 5/5 TAB 15S,CARDACE AM 5 TABLET 10x15T
CEASTRA SB 130MG CAP 1 X 10,CEASTRA SB 130MG 10X10C
INFEN-25MG TAB,INFEN - 25 TABLETS
PANPURE IV 20MG VIAL 1VIAL,PANPURE I.V.20 MG INJ 1 VIAL
PAUSE-XT 10TAB,PAUSE-XT TABLETS
Emfolic Syp 100ml,EMFOLIC SYRUP 100 ML
ASOMEX TM TAB 15 NOS,ASOMEX - TM TABLETS 1X15T
Cetapin XR 500mg Tab 20 S,CETAPIN XR 500MG TABLET 11x20T
TEMSAN -TRIO 40 10T,TEMSAN TRIO 40 TABLET 1X10T
EMSITA M SR 100/1000 1X10T 10 T,EMSITA M SR 100/1000 1X10T
EMSULIDE Tablets * 10s,EMSULIDE TABLET
EMTOFA OINT 15GM,EMTOFA OINTMENT 15GM
EPITRIL BETA 0.5 1X10,EPITRIL BETA 0.5 TABLETS
EMSITA GM 1/50/1000 1*10,EMSITA GM 50/1/1000 TABLET 10x10T
GALACT GRANULES KES 400GM,GALACT GRANULES 400 GM KESAR
FERIUM SYRUP 150ML 1,FERIUM SYRUP 150 ML
METPURE XL 12.5-N 10 S,METPURE XL 12.5 TABLET
ASOMEX AT 5MG TA 1*10,ASOMEX AT 5 MG TABLET
TEMSAN-CT 80MG TAB 10S,TEMSAN 80 CT TABLETS
METPURE XL 12.5 TAB 10S.,METPURE XL 12.5 TABLET
ATOREC CV 10 CAP 1x10,ATOREC CV 10 CAPSULES
DEXPURE-D CAP 10 S .,DEXPURE-D CAPSULES
PROFERIUM POWDER --,PROFERIUM POWDER 200 GM
TELSITE AM TABLET 10 T,TELSITE AM TABLET 10x10T
CONSIVAS-F 10/160MG TAB 10*TAB,CONSIVAS-F10/160 TABLETS
CARDACE 1.25MG TA 1 *15,CARDACE 1.25 MG TABLET 10x15T
SYNVISC ONE 48MG/6ML INJ INJ,SYNVISC ONE 48 MG/6 ML INJECTION
TARGOCID INJ-200MG 1X1,TARGOCID 200 MG/3 ML INJECTION
CORDARONE 100MG TAB 15*10*,CORDARONE 100 MG TABLET 20x15T
HAMSYL 3750IU/5ML INJ. VIAL,HAMSYL
FERRI INJ. 2ML.,FERRI INJECTION
CONSIVAS-40 TAB 10 S,CONSIVAS-40 TABLETS
STABOSE-0.3 TAB 10TAB,STABOSE - 0.3 TABLET
AMARYL-2MG TAB 30 S,AMARYL 2MG TABLET 15x30T
EMSITA M 50/500 TAB 10S 1,EMSITA M 50/500 1X10T
AMARYLM FORTE 1 1*15,AMARYL M FORTE 1MG TABLET 10x15T
GABA-HOSIT,GABA HOSIT TABLET
Vicare Total Cap 10c,VICARE TOTAL CAPSULE 1x10C
PAUSE MF TABLETS 10S,PAUSE MF TABLET
AQUAOAT MOISTURIZING LOTION 10,AQUAOAT MOISTURIZING LOTION 100ML
ATOREC 20,ATOREC 20 MG TABLET
DYDROFEM TAB. 10 S 10 S,DYDROFEM TABLETS
ACEGABA 100 10X15,ACEGABA 100 CAPSULE 1 X 15 C
EMILDAP M 10/500 TAB. 10S.,EMILDAP M10/500 1X10T
DEXPURED 10S,DEXPURE-D CAPSULES
OLMEGARD 40TABS 10 S,OLMEGARD 40 TABLET
TEMSAN 40 MG TAB 1015,TEMSAN 40 MG TABLETS 10x15T
PREGANZA ME TABLET 10 S,PREGANZA ME TABLET
INFEN-MR TABS 1X10,INFEN MR TABLETS
DILPRA OD 250 TAB 1*10TA,DILPRA OD 250 TABLETS
ATOREC-ASP CAPS 10S,ATOREC ASP CAPSULES
NEVIR-ER-TABLETS-30 TAB 30 TAB,NEVIR ER TBALET 1 X 30
NUMLO D 5 TABS 15S,NUMLO-D 5 TABLET 1x15 T
