Input_Column,Positive_Product,Positive_Product_Code,Positive_Rank,Positive_Score,Top1_Product,Top1_Score,Top10_Contains_Positive,Excel_Row
CELOL (10 TAB) 10TAB,FERIUM XT TABLET,424441702,4,0.6777,FERIUM XT TABLET 10x15T,0.7252,True,1381
EMPRI-L10+5 TABLETS- 1*10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.8745,EMPRI L 10/5MG TABLET 10x10T,0.8745,True,1387
EMPRI-L-25+5TABLETS-10 TAB 1*10 TAB,EMPRI L 25/5MG TABLET 10x10T,421113070,1,0.8149,EMPRI L 25/5MG TABLET 10x10T,0.8149,True,1388
POVIZTRA-1.75 MG FLXT 3 ML1 PC COPACK 1 PC,POVIZTRA FLXT 1.7MG 3ML 1PC COPACK,420008828,3,0.9357,POVIZTRA FLXT 0.5MG 1.5ML 1PC COPACK,0.9367,True,1389
GALACT GRANULES.ELACHI FLAVOUR- BIG SIZE BIG SIZE,GALACT GRANULES 10GM ELAICHI,421112986,1,0.8535,GALACT GRANULES 10GM ELAICHI,0.8535,True,1390
ERIBULIN 0.5MG/ML INJ EMBREMMA VIAL,EMMDARA INJECTION 50MG/2ML,421112598,1,0.7834,EMMDARA INJECTION 50MG/2ML,0.7834,True,1392
S NUMLO 5MG TAB. 20X15,S-NUMLO 5 MG TABLET 1x15 T,424441204,2,0.9051,S-NUMLO 2.5 MG TABLET 1x15 T,0.9061,True,1396
OSTERI INJ600 MCG+ NEEDLS 1X1,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,2,0.7573,OSTERI INJECTION 750 MCG PFS,0.7597,True,1398
GALACT GRANULES CHOCOLATE FLV 200GM 1X200GM,GALACT GRANULES CHOCOLATE,421112647,3,0.8790,GALACT GRANULES 600GM CHOCOLATE,0.9057,True,1400
OSTERI INJ.600MCG / 1S,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8872,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8872,True,1405
NUCORIL-5MG-30TAB(COLD CHAINE)30TAB,NUCORIL - 5 TABLETS 1X30 T,424440492,2,0.8290,NUCORIL 5 MG TAB 20,0.8357,True,1409
POVIZTRA-2.4ML INJ(COLD NO RETURN)1VIAL,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK,420008829,2,0.7834,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK,0.7866,True,1410
NUCORIL-5MG-30TAB(COLD CHAINE)30TAB,NUCORIL - 5 TABLETS 1X30 T,424440492,2,0.8290,NUCORIL 5 MG TAB 20,0.8357,True,1412
POVIZTRA-2.4ML INJ(COLD NO RETURN)1VIAL,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK,420008829,2,0.7834,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK,0.7866,True,1413
VONADAY TABS 1X30,VONADAY 600/300/300 MG TABLET 30s,424440875,1,0.7687,VONADAY 600/300/300 MG TABLET 30s,0.7687,True,1416
OROFER S INJ.5ML,OROFER S 100 INJECTION,421111537,3,0.8006,OROFER S INJECTION 2.5 ML,0.8765,True,1417
VONADAY TABS 1X30,VONADAY 600/300/300 MG TABLET 30s,424440875,1,0.7687,VONADAY 600/300/300 MG TABLET 30s,0.7687,True,1419
AMARYL M F/TE 1MG,AMARYL M FORTE 1MG TABLET 10x15T,421113132,5,0.7666,AMARYL M 1MG TABLET 8x20T,0.7934,True,1424
VYLDA-DM100/10/5,VYLDA DM 100/10/500 TABLET 1x10T,421112888,4,0.8023,VYLDA DM 100/5/1000 TABLET 1x10T,0.8132,True,1426
GALACT LACTATION GRANULES ELA 400GM --,GALACT GRANULES 400GM ELAICHI,421113094,1,0.9123,GALACT GRANULES 400GM ELAICHI,0.9123,True,1429
